ID_Producto,Nombre_Producto,Precio_Venta_Unitario,Costo_Variable_Unitario
1,ClassicMode Suéter W175,590.01,323.53
2,DigiMax Laptop E185,2034.13,1303.25
3,CozyLiving Sillón N319,872.78,533.91
4,TechPro Auriculares N552,2276.61,1320.35
5,DeliciaGourmet Snack Z531,130.6,92.67
6,ElectraSmart Auriculares A353,4655.31,2986.78
7,CozyLiving Estantería W861,1355.95,866.93
8,SaludVital Pasta D901,65.26,42.81
9,Innovatech TV Z758,483.15,306.28
10,FashionStyle Pantalón X424,311.94,173.18
11,ImagineThat Construcción P891,109.1,63.15
12,Innovatech Cámara Q995,3685.0,2329.36
13,FrescoPack Conserva X789,103.78,71.94
14,ModernSpace Lámpara A790,802.52,510.69
15,LearnPlay Puzzle L934,207.53,116.09
16,NutriFood Cereal H941,122.3,85.58
17,ModernSpace Lámpara M111,1029.87,631.91
18,ComfortDesign Decoración S853,1105.88,743.07
19,NutriFood Conserva Z875,118.75,88.55
20,ComfortDesign Cortina J701,1415.45,855.79
21,KidJoy Educativo S716,356.31,204.96
22,ImagineThat Vehículo Z600,373.12,226.55
23,LearnPlay Juego K512,239.61,132.26
24,HomeStyle Alfombra U860,498.12,329.5
25,Innovatech TV E556,2525.84,1598.98
26,TechPro Tablet C647,3035.23,1716.66
27,NutriFood Pasta G195,91.96,68.08
28,ClassicMode Abrigo L468,182.33,104.01
29,ClassicMode Abrigo W316,454.83,241.2
30,NutriFood Conserva Q980,110.7,76.91
31,UrbanChic Suéter P828,493.24,255.99
32,FutureTech Altavoz S276,4455.41,2859.67
33,ElectraSmart TV I175,4562.71,2877.12
34,ModernSpace Sillón N834,1339.0,933.6
35,ElegantLine Chaqueta Z466,92.63,50.22
36,SaludVital Bebida C495,77.86,54.17
37,ImagineThat Muñeco U583,339.6,191.52
38,TechPro Auriculares G208,694.63,394.37
39,DeliciaGourmet Bebida Z497,32.15,22.44
40,KidJoy Vehículo E262,126.83,70.2
41,CozyLiving Decoración K942,1275.67,868.17
42,FrescoPack Pasta I173,101.05,68.45
43,ImagineThat Juego Q352,388.58,224.81
44,SaludVital Lácteo H269,122.35,88.45
45,ComfortDesign Sillón Z293,1136.54,767.07
46,ClassicMode Falda E521,579.08,299.04
47,FutureTech Tablet A441,4959.67,3194.93
48,FashionStyle Chaqueta G316,127.6,73.37
49,ElectraSmart Auriculares D169,4774.29,2969.64
50,PlayWorld Peluche L281,301.71,179.39
